id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
97,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,<S1,22,ORANG,2018
98,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,>=S1,374,ORANG,2018
99,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,<S1,6,ORANG,2018
100,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,>=S1,452,ORANG,2018
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,<S1,25,ORANG,2018
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,>=S1,621,ORANG,2018
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,<S1,15,ORANG,2018
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,>=S1,555,ORANG,2018
105,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,<S1,12,ORANG,2018
106,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,>=S1,212,ORANG,2018
107,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,<S1,4,ORANG,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,>=S1,239,ORANG,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,<S1,304,ORANG,2019
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,>=S1,2071,ORANG,2019
111,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,<S1,136,ORANG,2019
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,>=S1,2135,ORANG,2019
113,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,<S1,127,ORANG,2019
114,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,>=S1,995,ORANG,2019
115,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,<S1,42,ORANG,2019
116,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,>=S1,729,ORANG,2019
117,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,<S1,97,ORANG,2019
118,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,>=S1,1329,ORANG,2019
119,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,<S1,47,ORANG,2019
120,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,>=S1,1242,ORANG,2019
121,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,<S1,112,ORANG,2019
122,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,>=S1,1140,ORANG,2019
123,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,<S1,53,ORANG,2019
124,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,>=S1,1227,ORANG,2019
125,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,<S1,142,ORANG,2019
126,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,>=S1,1386,ORANG,2019
127,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,<S1,66,ORANG,2019
128,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,>=S1,1368,ORANG,2019
129,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,<S1,82,ORANG,2019
130,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,>=S1,1168,ORANG,2019
131,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,<S1,30,ORANG,2019
132,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,>=S1,1144,ORANG,2019
133,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,<S1,50,ORANG,2019
134,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,>=S1,638,ORANG,2019
135,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,<S1,20,ORANG,2019
136,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,>=S1,625,ORANG,2019
137,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,<S1,60,ORANG,2019
138,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,>=S1,801,ORANG,2019
139,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,<S1,14,ORANG,2019
140,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,>=S1,619,ORANG,2019
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,<S1,75,ORANG,2019
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,>=S1,1217,ORANG,2019
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,<S1,21,ORANG,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,>=S1,1138,ORANG,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,<S1,26,ORANG,2019
146,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,>=S1,724,ORANG,2019
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,<S1,3,ORANG,2019
148,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,>=S1,666,ORANG,2019
149,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,<S1,46,ORANG,2019
150,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,>=S1,746,ORANG,2019
151,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,<S1,19,ORANG,2019
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,>=S1,832,ORANG,2019
153,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,<S1,123,ORANG,2019
154,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,>=S1,1264,ORANG,2019
155,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,<S1,39,ORANG,2019
